food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,calculated_tags
Pickle (1 spear dill),Vegetable,5.0,0.2,1.0,0.1,0.3,0.5,300.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Lobster Bisque (1 cup),Meal/Seafood,250.0,8.0,12.0,18.0,1.0,3.0,850.0,50.0,Lunch,250.0,"['wholeFood', 'lowFibre']",,,,['lowFibre']
Reuben Sandwich,Meal/Processed,650.0,28.0,35.0,40.0,5.0,6.0,1500.0,100.0,Lunch,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Sauerkraut (1/4 cup side),Vegetable,7.0,0.3,1.5,0.0,1.0,0.6,234.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Mushroom (White 1 cup sliced),Vegetable,15.0,2.2,2.3,0.2,0.7,1.4,4.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110.0,8.0,9.0,4.5,2.0,6.0,125.0,0.0,Breakfast,240.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Chicken Tikka Masala (1.5 cups),Meal/Meat,480.0,30.0,20.0,30.0,5.0,8.0,900.0,95.0,Dinner,250.0,"['highProtein', 'energyBoost', 'gutFriendly', 'highFibre']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highFibre']"
Naan Bread (1 piece),Grain,260.0,8.0,45.0,5.0,2.0,3.0,450.0,10.0,Dinner,0.0,"['highCarb', 'lowFibre', 'energyBoost', 'wholeFood', 'processed']",,,,"['energyBoost', 'processed', 'highCarb', 'lowFibre']"
Cucumber Salad (1/2 cup),Vegetable,40.0,1.0,5.0,2.0,1.0,4.0,200.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']"
Vodka Soda (1 drink),Beverage,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Snack,180.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Chocolate Croissant,Dessert,350.0,6.0,40.0,19.0,3.0,15.0,300.0,40.0,Breakfast,250.0,"['sugary', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['sugary', 'energyBoost', 'highCarb']"
Sweet & Sour Chicken (1 cup),Meal/Processed,380.0,18.0,45.0,15.0,3.0,25.0,750.0,50.0,Dinner,0.0,"['sugary', 'highProtein', 'energyBoost', 'highCarb']",,,,"['sugary', 'highProtein', 'energyBoost', 'highCarb']"
Egg Drop Soup (1 cup),Meal/Vegetable,65.0,5.0,6.0,2.0,0.5,1.0,780.0,50.0,Dinner,0.0,"['lowCarb', 'highProtein', 'lowFibre', 'lowProtein']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
String Cheese (1 stick),Dairy,80.0,6.0,1.0,6.0,0.0,0.0,210.0,20.0,Snack,0.0,"['noAddedSugar', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb']"
Turkey Burger (1 patty),Protein/Meat,160.0,22.0,2.0,8.0,0.0,1.0,400.0,70.0,Lunch,250.0,"['highProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['highProtein', 'lowFibre', 'lowCarb']"
Potato Salad (1/2 cup),Meal/Vegetable,180.0,2.0,19.0,11.0,2.0,3.0,500.0,10.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'wholeFood', 'lowFibre']"
Cranberry Juice (1 cup),Beverage,130.0,0.0,33.0,0.0,0.0,30.0,10.0,0.0,Breakfast,240.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Chicken Piccata (1 serving),Meal/Meat,350.0,30.0,10.0,20.0,1.0,2.0,600.0,90.0,Dinner,250.0,"['highProtein', 'lowFibre', 'lowCarb']",,,,"['highProtein', 'lowFibre', 'lowCarb']"
Angel Hair Pasta (1 cup),Grain,200.0,7.0,42.0,1.0,2.0,1.0,1.0,0.0,Dinner,0.0,"['energyBoost', 'wholeFood', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Olive Oil (1 tbsp),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Garlic (1 clove),Vegetable,4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,Snack,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Provolone Cheese (1 slice),Dairy,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,Snack,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Ginger Ale (1 can),Beverage,124.0,0.0,32.0,0.0,0.0,31.0,40.0,0.0,Snack,355.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Shrimp Scampi (1 cup),Meal/Seafood,380.0,22.0,40.0,15.0,3.0,3.0,750.0,140.0,Dinner,0.0,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['highProtein', 'energyBoost', 'highCarb']"
Tiramisu (1 slice),Dessert,450.0,7.0,42.0,28.0,2.0,25.0,150.0,180.0,Snack,250.0,"['highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'energyBoost', 'highCarb', 'lowFibre']"
Cereal Bar (Fruit),Snack/Processed,140.0,2.0,30.0,3.0,1.0,15.0,110.0,0.0,Breakfast,250.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Veal Parmesan (1 serving),Meal/Meat,550.0,40.0,30.0,30.0,4.0,7.0,1100.0,130.0,Dinner,250.0,"['highProtein', 'highCarb', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highCarb']"
Spaghetti (side),Grain,100.0,3.5,21.0,0.5,1.0,0.5,0.0,0.0,Dinner,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'energyBoost', 'lowFibre']"
Hot Chocolate (1 cup),Beverage,200.0,3.0,30.0,8.0,2.0,25.0,160.0,10.0,Snack,240.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Coconut Shrimp (5 pcs),Meal/Seafood,320.0,10.0,25.0,20.0,3.0,8.0,600.0,80.0,Dinner,0.0,"['energyBoost', 'wholeFood', 'highCarb']",,,,"['energyBoost', 'highCarb']"
Sweet Chili Sauce (2 tbsp),Condiment,70.0,0.0,17.0,0.0,0.5,16.0,450.0,0.0,Dinner,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
White Wine (5 oz glass),Beverage,121.0,0.1,3.8,0.0,0.0,1.4,5.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Trail Mix (1/4 cup),Snack/Processed,190.0,5.0,20.0,12.0,3.0,14.0,50.0,0.0,Snack,250.0,"['sugary', 'lowProtein', 'energyBoost', 'wholeFood']",,,,"['sugary', 'lowProtein', 'energyBoost']"
Onion Rings (6 rings),Snack/Processed,280.0,4.0,30.0,16.0,3.0,4.0,500.0,0.0,Snack,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Poached Egg (1 large),Protein,72.0,6.3,0.4,4.8,0.0,0.4,140.0,185.0,Breakfast,0.0,"['highProtein', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Canadian Bacon (2 slices),Protein/Meat,80.0,12.0,1.0,3.0,0.0,1.0,650.0,40.0,Breakfast,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Eggs Benedict (1 serving),Meal/Protein,600.0,25.0,30.0,40.0,3.0,4.0,1100.0,450.0,Breakfast,250.0,"['highProtein', 'energyBoost', 'highCarb']",,,,"['highProtein', 'energyBoost', 'highCarb']"
Hollandaise Sauce (2 tbsp),Condiment,110.0,1.0,0.5,12.0,0.0,0.2,150.0,50.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Spinach Artichoke Dip (1/4 cup),Snack/Processed,160.0,5.0,6.0,14.0,2.0,2.0,350.0,30.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Tortilla Chips (1 oz),Snack/Processed,140.0,2.0,19.0,7.0,2.0,0.5,120.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Chicken Kebab (2 skewers),Meal/Meat,280.0,30.0,8.0,14.0,3.0,4.0,500.0,85.0,Dinner,250.0,"['highProtein', 'lowCarb']",,,,"['highProtein', 'lowCarb']"
Bell Peppers & Onions (sautéed),Vegetable,60.0,1.5,10.0,2.0,3.0,6.0,30.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowCarb']",,,,"['lowProtein', 'lowCarb']"
Hummus Wrap (large),Meal/Vegetarian,450.0,15.0,60.0,18.0,12.0,5.0,800.0,0.0,Lunch,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Kombucha (1 cup),Beverage,30.0,0.0,7.0,0.0,0.0,6.0,10.0,0.0,Snack,240.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Beef Stroganoff (1.5 cups),Meal/Pasta,550.0,30.0,40.0,28.0,4.0,6.0,900.0,100.0,Dinner,0.0,"['highProtein', 'highCarb', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highCarb']"
Egg Noodles (1 cup cooked),Grain,220.0,8.0,40.0,3.0,2.0,2.0,20.0,50.0,Dinner,0.0,"['highProtein', 'energyBoost', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Cottage Cheese (1 cup low fat),Dairy,160.0,28.0,6.0,2.5,0.0,4.0,820.0,10.0,Lunch,250.0,"['highProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['highProtein', 'lowFibre', 'lowCarb']"
Tomato (1 medium sliced),Vegetable,22.0,1.1,4.8,0.2,1.5,3.2,6.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Black Pepper (1 tsp),Condiment,6.0,0.2,1.5,0.1,0.6,0.0,0.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Chocolate Pudding (1/2 cup),Dessert,150.0,2.0,28.0,4.0,2.0,22.0,130.0,2.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Mackerel (3oz cooked),Protein/Fish,175.0,16.0,0.0,12.0,0.0,0.0,75.0,65.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Collard Greens (1 cup cooked),Vegetable,60.0,5.0,10.0,1.0,7.0,1.0,40.0,0.0,Dinner,0.0,"['lowProtein', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood']",,,,"['lowProtein', 'gutFriendly', 'highFibre', 'lowCarb']"
Ham (3oz deli sliced),Protein/Meat,110.0,16.0,2.0,4.0,0.0,1.5,950.0,45.0,Lunch,0.0,"['highProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['highProtein', 'lowFibre', 'lowCarb']"
Swiss Cheese (1 slice),Dairy,106.0,7.6,1.0,8.0,0.0,0.4,54.0,26.0,Lunch,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Rye Bread (1 slice),Grain,83.0,2.7,15.5,1.1,1.9,1.2,170.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'processed', 'lowFibre']",,,,"['lowProtein', 'processed', 'lowFibre']"
Potato Leek Soup (1 cup),Meal/Vegetable,180.0,4.0,25.0,7.0,3.0,4.0,650.0,15.0,Lunch,250.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Brie Cheese (1 oz),Dairy,95.0,6.0,0.1,7.9,0.0,0.1,178.0,28.0,Snack,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Water Cracker (5 crackers),Grain/Processed,70.0,1.5,12.0,1.5,0.5,0.0,150.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'noAddedSugar']",,,,"['lowProtein', 'lowFibre', 'noAddedSugar']"
Grapefruit (1/2 medium),Fruit,52.0,1.1,13.2,0.2,2.0,8.5,0.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Veggie Straws (1 oz),Snack/Processed,130.0,1.0,17.0,7.0,1.0,1.0,220.0,0.0,Snack,0.0,"['highProtein', 'wholeFood', 'lowFibre', 'lowProtein']",,,,"['lowProtein', 'lowFibre']"
Fish Tacos (2 tacos),Meal/Fish,420.0,25.0,40.0,18.0,6.0,5.0,700.0,60.0,Dinner,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Cabbage Slaw (side),Vegetable,60.0,1.0,8.0,3.0,2.0,5.0,120.0,5.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Lime (juice of 1),Condiment,11.0,0.2,3.7,0.0,0.4,0.7,1.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Beer (12 oz light),Beverage,103.0,0.9,5.8,0.0,0.0,0.3,10.0,0.0,Snack,355.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Danish (Cheese 1 medium),Dessert,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,Breakfast,250.0,"['highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'energyBoost', 'highCarb', 'lowFibre']"
Kefir (Plain 1 cup),Beverage/Dairy,104.0,10.0,10.0,2.5,0.0,9.0,100.0,10.0,Breakfast,240.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Gnocchi (1 cup),Meal/Pasta,210.0,4.5,45.0,1.5,3.0,2.0,480.0,0.0,Dinner,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Pesto Sauce (1/4 cup),Condiment,260.0,5.0,4.0,26.0,2.0,1.0,550.0,5.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pine Nuts (1 tbsp),Nut,95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Chai Latte (12 oz),Beverage,190.0,7.0,32.0,4.0,1.0,30.0,105.0,15.0,Snack,355.0,"['highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'energyBoost', 'highCarb', 'lowFibre']"
Manicotti (2 shells cheese),Meal/Pasta,380.0,20.0,35.0,18.0,4.0,7.0,650.0,60.0,Dinner,0.0,"['highProtein', 'highCarb', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highCarb']"
Italian Sausage (1 link),Protein/Meat,200.0,12.0,3.0,16.0,0.0,1.0,550.0,50.0,Dinner,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Jicama (1 cup sticks),Vegetable,46.0,0.9,10.6,0.1,5.8,2.1,5.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'highFibre', 'gutFriendly']",,,,"['lowProtein', 'gutFriendly', 'highFibre']"
Chili Powder (1 tsp),Condiment,8.0,0.3,1.4,0.4,0.9,0.2,10.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Ants on a Log (4 pcs),Snack,180.0,6.0,12.0,12.0,3.0,7.0,120.0,0.0,Snack,250.0,['wholeFood'],,,,[]
Split Pea Soup (1 cup),Meal/Legume,180.0,11.0,30.0,2.0,10.0,6.0,700.0,5.0,Lunch,250.0,"['highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['gutFriendly', 'energyBoost', 'highFibre', 'highCarb']"
Ham & Cheese Croissant,Meal/Processed,400.0,15.0,35.0,22.0,2.0,6.0,750.0,60.0,Breakfast,250.0,"['highProtein', 'highCarb', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Espresso (double shot),Beverage,5.0,0.5,0.0,0.1,0.0,0.0,1.0,0.0,Breakfast,60.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Ricotta Cheese (1/4 cup),Dairy,85.0,5.5,2.5,6.0,0.0,1.0,50.0,24.0,Dinner,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Chicken & Rice Soup (1 can),Meal/Processed,130.0,7.0,18.0,3.0,2.0,2.0,850.0,15.0,Lunch,250.0,"['highProtein', 'lowFibre', 'high_glycemic']",,,,['lowFibre']
Salt (1/4 tsp),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Guava,Fruit,68.0,2.6,14.3,0.9,5.4,8.9,3.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'highFibre', 'gutFriendly']",,,,"['lowProtein', 'gutFriendly', 'highFibre']"
Club Sandwich,Meal/Processed,580.0,35.0,40.0,30.0,5.0,7.0,1300.0,95.0,Lunch,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Pickle (1 whole dill),Vegetable,17.0,0.8,3.7,0.2,1.5,1.7,1200.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Turkey Chili (1 cup),Meal/Meat,250.0,22.0,25.0,7.0,8.0,6.0,750.0,50.0,Dinner,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Sour Cream (2 tbsp),Condiment/Dairy,60.0,0.8,1.3,5.8,0.0,0.8,25.0,12.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Shredded Cheese (Cheddar 1/4 cup),Dairy,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,Dinner,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Matcha Latte (12 oz),Beverage,180.0,6.0,28.0,5.0,2.0,25.0,90.0,20.0,Snack,355.0,"['highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'energyBoost', 'highCarb', 'lowFibre']"
Chocolate Donut (1 medium),Dessert,300.0,4.0,35.0,17.0,2.0,18.0,230.0,20.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Tuna Melt,Meal/Processed,450.0,25.0,32.0,25.0,3.0,4.0,900.0,50.0,Lunch,250.0,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['highProtein', 'energyBoost', 'highCarb']"
Apple Cider (1 cup),Beverage,117.0,0.1,29.0,0.3,0.5,27.0,10.0,0.0,Snack,240.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Beef Burrito (large),Meal/Processed,650.0,30.0,70.0,28.0,10.0,5.0,1400.0,70.0,Dinner,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Pico de Gallo (1/4 cup),Condiment,15.0,0.5,3.0,0.0,1.0,2.0,200.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Corn Tortilla (1 medium),Grain,52.0,1.4,11.2,0.7,1.5,0.2,4.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Mussels (3oz steamed),Protein/Seafood,146.0,20.0,6.0,4.0,0.0,0.0,310.0,48.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine']"
White Wine Sauce (1/4 cup),Condiment,80.0,1.0,4.0,6.0,0.5,2.0,300.0,5.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
French Bread (2 slices),Grain,180.0,6.0,36.0,1.0,2.0,2.0,380.0,0.0,Dinner,0.0,"['highCarb', 'lowFibre', 'energyBoost', 'wholeFood', 'processed']",,,,"['energyBoost', 'processed', 'highCarb', 'lowFibre']"
Blackberries (1 cup),Fruit,62.0,2.0,13.8,0.7,7.6,4.9,1.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'highFibre', 'gutFriendly']",,,,"['lowProtein', 'gutFriendly', 'highFibre']"
Cheese Danish,Dessert,340.0,7.0,38.0,18.0,2.0,16.0,300.0,55.0,Breakfast,250.0,"['highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'energyBoost', 'highCarb', 'lowFibre']"
Chicken Salad Sandwich,Meal/Processed,420.0,20.0,35.0,20.0,3.0,5.0,850.0,60.0,Lunch,250.0,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']"
Soyrizo (2 oz),Protein/Vegetarian,140.0,10.0,6.0,9.0,3.0,2.0,450.0,0.0,Breakfast,0.0,"['wholeFood', 'lowCarb']",,,,['lowCarb']
Hash Browns (1 cup),Vegetable,330.0,3.0,38.0,19.0,3.0,1.0,550.0,0.0,Breakfast,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Ketchup (1 packet),Condiment,10.0,0.1,2.5,0.0,0.1,2.0,90.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Philly Cheesesteak (6 inch),Meal/Processed,500.0,25.0,40.0,28.0,3.0,5.0,1100.0,70.0,Lunch,500.0,"['highProtein', 'highCarb', 'caffeine', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'highCarb', 'caffeine']"
Cheese Whiz (2 tbsp),Condiment/Processed,90.0,4.0,3.0,7.0,0.0,2.0,540.0,20.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Onions (sautéed 1/4 cup),Vegetable,30.0,0.5,5.0,1.0,1.0,3.0,5.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Raspberries (1 cup),Fruit,64.0,1.5,14.7,0.8,8.0,5.4,1.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'highFibre', 'gutFriendly']",,,,"['lowProtein', 'gutFriendly', 'highFibre']"
Cheesy Grits (1 cup),Meal/Grain,210.0,6.0,34.0,6.0,2.0,1.0,550.0,20.0,Breakfast,0.0,"['energyBoost', 'wholeFood', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Collard Greens (with ham hock),Vegetable,180.0,10.0,15.0,9.0,8.0,3.0,600.0,30.0,Dinner,0.0,"['gutFriendly', 'wholeFood', 'highFibre']",,,,"['gutFriendly', 'highFibre']"
Fried Okra (1 cup),Vegetable,220.0,4.0,25.0,12.0,5.0,3.0,450.0,10.0,Dinner,0.0,"['lowProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
