food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,enhanced_tags
Cupcake (Vanilla 1 medium),Dessert,240.0,2.0,35.0,11.0,1.0,25.0,200.0,30.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Frosting (Vanilla 2 tbsp),Condiment,140.0,0.0,22.0,6.0,0.0,22.0,65.0,0.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Hot Sauce (1 tsp Tabasco),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Bison Burger (1 patty),Protein/Meat,150.0,22.0,0.0,7.0,0.0,0.0,65.0,70.0,Lunch,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pretzel Bun (1 medium),Grain,230.0,8.0,45.0,2.0,2.0,4.0,550.0,0.0,Lunch,0.0,"['wholeFood', 'highCarb', 'lowFibre', 'pcosFriendly']",,,,"['wholeFood', 'highCarb', 'lowFibre', 'pcosFriendly']"
Spicy Mustard (1 tbsp),Condiment,10.0,0.5,1.0,0.5,0.5,0.0,120.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pasta Salad (1 cup),Meal/Pasta,280.0,8.0,30.0,14.0,4.0,5.0,450.0,10.0,Lunch,0.0,"['lowGlycemic', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,Lunch,0.0,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pepperoncini (2 peppers),Vegetable,10.0,0.5,2.0,0.0,1.0,1.0,350.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Coconut Milk (1/4 cup canned),Condiment,111.0,1.1,2.9,11.6,0.5,1.5,8.0,0.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Green Curry Paste (1 tbsp),Condiment,30.0,0.5,2.0,2.5,1.0,1.0,400.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Chicken Thigh (1 roasted),Protein/Meat,210.0,24.0,0.0,13.0,0.0,0.0,90.0,120.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Jasmine Rice (1 cup cooked),Grain,205.0,4.3,45.0,0.4,0.6,0.0,2.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'high_glycemic', 'highCarb', 'lowFibre', 'highGlycemic', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'highCarb', 'lowFibre', 'highGlycemic', 'wholeFood']"
Thai Iced Tea (1 glass),Beverage,250.0,3.0,35.0,12.0,0.0,33.0,50.0,35.0,Snack,300.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'wholeFood']"
Papaya (1 cup cubes),Fruit,62.0,0.6,15.7,0.4,2.5,11.0,12.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'pcosFriendly']"
Lime Juice (1 tbsp),Condiment,4.0,0.1,1.3,0.0,0.1,0.2,0.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Macaroni Salad (1 cup),Meal/Pasta,380.0,8.0,30.0,25.0,3.0,6.0,750.0,20.0,Lunch,0.0,"['lowGlycemic', 'wholeFood', 'highCarb', 'pcosFriendly']",,,,"['lowGlycemic', 'wholeFood', 'highCarb', 'pcosFriendly']"
Celery (1 stalk),Vegetable,6.0,0.3,1.2,0.1,0.6,0.5,32.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Blue Cheese (1 oz),Dairy,100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,Snack,0.0,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Dark Chocolate (1 oz 70%),Dessert,170.0,2.2,13.0,12.0,3.0,7.0,5.0,0.0,Snack,0.0,"['lowProtein', 'chocolate', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'chocolate', 'wholeFood', 'pcosFriendly']"
Acai Bowl (1 serving),Meal/Fruit,350.0,5.0,60.0,12.0,10.0,30.0,40.0,0.0,Breakfast,250.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']"
Granola (1/4 cup topping),Grain,120.0,3.0,15.0,6.0,3.0,7.0,20.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'pcosFriendly']"
Coconut Flakes (1 tbsp topping),Fruit,35.0,0.3,1.5,3.3,0.7,0.5,1.0,0.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Honey (1 tsp drizzle),Condiment,21.0,0.0,5.8,0.0,0.0,5.8,0.0,0.0,Breakfast,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Shrimp Cocktail (4 large shrimp),Protein/Seafood,60.0,10.0,1.0,1.0,0.0,0.5,300.0,110.0,Snack,0.0,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Cocktail Sauce (2 tbsp),Condiment,30.0,0.5,7.0,0.0,0.5,5.0,450.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pork Bun (1 steamed),Meal/Processed,220.0,8.0,30.0,8.0,2.0,6.0,400.0,20.0,Lunch,0.0,"['highCarb', 'lowFibre', 'caffeine', 'wholeFood', 'pcosFriendly']",,,,"['highCarb', 'lowFibre', 'caffeine', 'wholeFood', 'pcosFriendly']"
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180.0,12.0,10.0,10.0,2.0,1.0,550.0,60.0,Lunch,0.0,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Soy Sauce (1 tbsp for dipping),Condiment,9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'soySensitive', 'estrogenBoosting', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'soySensitive', 'estrogenBoosting', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Oyster (1 medium raw),Protein/Seafood,8.0,1.0,0.5,0.2,0.0,0.0,50.0,10.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Mignonette Sauce (1 tbsp),Condiment,5.0,0.0,1.0,0.0,0.0,0.5,30.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Beef Pho (1 large bowl),Meal/Soup,450.0,30.0,55.0,12.0,4.0,5.0,1500.0,60.0,Dinner,500.0,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Bean Sprouts (1/4 cup garnish),Vegetable,8.0,0.8,1.5,0.1,0.4,1.0,1.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Thai Basil (garnish),Condiment,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Lime Wedge (garnish),Condiment,3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Jalapeno (1 tbsp sliced),Vegetable,4.0,0.1,0.8,0.1,0.4,0.5,1.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Hoisin Sauce (1 tbsp),Condiment,35.0,0.3,8.0,0.2,0.1,5.0,220.0,0.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Sriracha (1 tsp),Condiment,5.0,0.1,1.0,0.1,0.1,0.8,80.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Crepe (1 plain),Grain,90.0,3.5,14.0,2.0,0.5,3.0,100.0,25.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']"
Nutella (1 tbsp),Condiment,100.0,1.5,11.0,6.0,1.0,10.0,10.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']"
Powdered Sugar (1 tsp),Condiment,10.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,Breakfast,0.0,"['lowProtein', 'proInflammatory', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'proInflammatory', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Sake (3 oz),Beverage,117.0,0.4,3.8,0.0,0.0,0.0,4.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Edamame (in pod 1 cup),Legume,120.0,11.0,9.0,5.0,5.0,2.0,9.0,0.0,Snack,250.0,"['highFibre', 'lowCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highFibre', 'lowCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Sea Salt (coarse 1/4 tsp),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Biryani (Chicken 1.5 cups),Meal/Meat,520.0,28.0,60.0,18.0,5.0,6.0,900.0,75.0,Dinner,0.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Raita (2 tbsp),Condiment/Dairy,30.0,1.0,2.0,2.0,0.5,1.5,100.0,5.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Lassi (Mango 1 cup),Beverage,180.0,5.0,30.0,4.0,1.0,28.0,60.0,15.0,Snack,240.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Samosa (1 piece vegetable),Snack/Processed,130.0,2.0,18.0,6.0,2.0,1.0,300.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'processed', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Tamarind Chutney (1 tbsp),Condiment,20.0,0.1,5.0,0.0,0.5,4.0,120.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Mint Chutney (1 tbsp),Condiment,5.0,0.2,0.5,0.0,0.3,0.2,150.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pani Puri (6 pcs),Snack/Processed,200.0,4.0,35.0,5.0,3.0,2.0,400.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'highCarb', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'highCarb', 'pcosFriendly']"
Passion Fruit (1 fruit),Fruit,17.0,0.4,4.2,0.1,1.9,2.0,5.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Kimchi Jjigae (1 bowl),Meal/Soup,350.0,15.0,20.0,22.0,5.0,6.0,1200.0,30.0,Dinner,500.0,"['highProtein', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Silken Tofu (3oz in soup),Protein/Vegetarian,45.0,5.0,2.0,2.5,0.5,1.0,5.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pork Belly (1 oz in soup),Protein/Meat,145.0,3.0,0.0,15.0,0.0,0.0,150.0,20.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Gochugaru (1 tsp),Condiment,10.0,0.3,1.8,0.3,0.5,0.3,1.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Gochujang (1 tbsp),Condiment,30.0,0.5,6.0,0.0,0.5,4.0,200.0,0.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Sesame Oil (1 tsp),Condiment,40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Fish Sauce (1 tsp),Condiment,5.0,0.4,0.5,0.0,0.0,0.4,450.0,0.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Green Onion (1 tbsp garnish),Vegetable,3.0,0.2,0.7,0.0,0.2,0.2,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Kombucha (16 oz),Beverage,60.0,0.0,14.0,0.0,0.0,12.0,20.0,0.0,Snack,473.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Beef Wellington (1 slice),Meal/Meat,600.0,30.0,35.0,38.0,4.0,4.0,850.0,100.0,Dinner,0.0,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Pate (Mushroom 2 tbsp),Condiment,70.0,1.0,2.0,7.0,1.0,1.0,100.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Puff Pastry (1 oz wrapper),Grain,115.0,1.5,9.0,8.0,0.5,0.0,100.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Prosciutto (1 slice),Protein/Meat,35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Asparagus (6 spears roasted),Vegetable,40.0,4.0,4.0,2.0,3.0,2.0,150.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']",,,,"['lowProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']"
Hollandaise Sauce (1 tbsp),Condiment,55.0,0.5,0.2,6.0,0.0,0.1,75.0,25.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Flan (1 slice),Dessert,220.0,6.0,35.0,7.0,0.0,33.0,80.0,90.0,Snack,0.0,"['pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Caramel Sauce (1 tbsp),Condiment,60.0,0.0,13.0,1.0,0.0,12.0,30.0,5.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Congee (1 cup plain),Meal/Grain,130.0,2.5,28.0,1.0,1.0,0.5,300.0,0.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Pickled Radish (1/4 cup),Vegetable,15.0,0.5,3.0,0.0,1.0,2.0,250.0,0.0,Breakfast,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pork Floss (1 tbsp),Protein/Meat,50.0,4.0,3.0,2.0,0.0,2.5,150.0,10.0,Breakfast,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Century Egg (1 egg),Protein,100.0,7.0,1.0,7.0,0.0,0.5,300.0,200.0,Breakfast,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Arugula (2 cups),Vegetable,10.0,1.0,0.8,0.2,0.4,0.4,6.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Goat Cheese (1 oz),Dairy,103.0,6.1,0.1,8.5,0.0,0.1,146.0,22.0,Lunch,0.0,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Beets (1/2 cup roasted),Vegetable,30.0,0.8,6.8,0.1,1.4,5.8,50.0,0.0,Lunch,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Walnuts (1 tbsp chopped),Nut,46.0,1.1,1.0,4.6,0.5,0.2,0.0,0.0,Lunch,0.0,"['lowGlycemic', 'lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Balsamic Glaze (1 tbsp),Condiment,40.0,0.0,9.0,0.0,0.0,8.0,10.0,0.0,Lunch,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Bobotie (1 serving),Meal/Meat,450.0,25.0,30.0,25.0,5.0,15.0,700.0,150.0,Dinner,0.0,"['highProtein', 'pcosTrigger', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']",,,,"['highProtein', 'pcosTrigger', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']"
Yellow Rice (1 cup),Grain,230.0,4.0,50.0,1.0,2.0,1.0,300.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'high_glycemic', 'highCarb', 'lowFibre', 'highGlycemic', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'highCarb', 'lowFibre', 'highGlycemic', 'wholeFood']"
Chutney (Mango 1 tbsp),Condiment,45.0,0.1,11.0,0.1,0.5,10.0,180.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']"
Malva Pudding (1 slice),Dessert,380.0,5.0,60.0,14.0,2.0,40.0,350.0,60.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Custard (1/4 cup),Condiment,80.0,3.0,10.0,3.0,0.0,8.0,40.0,40.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Bubble Tea (16 oz milk tea),Beverage,320.0,2.0,70.0,4.0,1.0,60.0,100.0,10.0,Snack,473.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'dairySensitive', 'caffeine', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'dairySensitive', 'caffeine', 'wholeFood']"
Tapioca Pearls (1/4 cup boba),Condiment,100.0,0.0,25.0,0.0,0.0,20.0,5.0,0.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Paella (1.5 cups seafood),Meal/Rice,550.0,30.0,70.0,18.0,6.0,5.0,1200.0,110.0,Dinner,0.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
